model,metric,n_images,mean,median
MobileNetV3,dice,2094,0.8647391364724308,0.8969882714560322
MobileNetV3,iou,2094,0.777085548897469,0.8132173484449525
EfficientNetB3,dice,2094,0.8664587770484367,0.9010341214552917
EfficientNetB3,iou,2094,0.7812976268695029,0.8198927186665735
ConvNeXtTiny,dice,2094,0.8801731888851202,0.9083755049421707
ConvNeXtTiny,iou,2094,0.7996386114240914,0.8321318461646658
YOLOv8sSeg,dice,2094,0.8777916930991848,0.9058306523134918
YOLOv8sSeg,iou,2094,0.7961655125684572,0.8278706173288704
