group,n_images,n_patients,yolo_detection_coverage,patient_balanced_mean_layercam_yolo_top15_iou,patient_balanced_mean_layercam_yolo_top15_dice,patient_balanced_mean_layercam_yolo_any_overlap,patient_balanced_mean_layercam_peak_inside_yolo,patient_balanced_mean_layercam_energy_inside_yolo,patient_balanced_mean_layercam_expert_top15_iou,patient_balanced_mean_layercam_expert_strict_pointing_hit,patient_balanced_mean_layercam_expert_nodule_energy_fraction,patient_balanced_mean_yolo_expert_mask_iou,patient_balanced_mean_yolo_expert_mask_dice
Overall,2094,739,0.9995224450811844,0.3350052529544196,0.47392869840609275,0.9993234100135318,0.9568673883626523,0.2447118465235263,0.3262819905512636,0.9512291384754171,0.24023372791124503,0.796121757710986,0.8777085029062925
Benign,1120,386,0.9991071428571429,0.3677350600414998,0.5081756442297105,0.9987046632124352,0.9392271157167531,0.25756334574258055,0.35837329484851804,0.9301597582037997,0.25365384884202585,0.8028261873355121,0.8773844134357903
Malignant,974,353,1.0,0.29921571885919857,0.436480196740607,1.0,0.9761567516525023,0.230658932363314,0.2911906493083734,0.9742681775259678,0.22555903476880487,0.7887905683765184,0.8780628896927343
YOLO detected only,2093,739,1.0,0.335379466983588,0.47441059505125915,1.0,0.9575439783491204,0.24502733291938375,0.3264277924430642,0.9519057284618854,0.24030874897014698,0.7967431561208724,0.8783563237079534
